Date,Open,High,Low,Close,Volume,Adj Close
2017-03-03,21.16,21.35,21.03,21.10,4647100,21.0019
2017-03-02,21.50,22.01,21.50,21.75,2747900,21.64887
2017-03-01,22.06,22.21,21.53,21.83,3087500,21.7285
2017-02-28,22.36,22.47,21.98,22.14,4572100,22.03706
2017-02-27,23.70,23.71,23.01,23.07,2708300,22.96274
2017-02-24,23.85,23.99,23.35,23.53,5134100,23.4206
2017-02-23,23.00,23.47,22.87,23.42,3302900,23.31111
2017-02-22,22.85,23.10,22.715,23.09,3341700,22.98264
2017-02-21,22.90,23.19,22.72,22.89,1979100,22.78357
2017-02-20,22.93,23.18,22.80,22.99,1628300,22.88311
2017-02-17,22.90,23.19,22.89,22.99,3031200,22.88311
2017-02-16,22.86,22.885,22.55,22.73,2389000,22.62432
2017-02-15,22.44,22.675,22.28,22.56,4159800,22.45511
2017-02-14,22.49,22.51,22.08,22.35,3747600,22.24608
2017-02-13,22.93,22.96,22.64,22.72,2579000,22.61436
2017-02-10,22.76,22.89,22.30,22.54,4125500,22.4352
2017-02-09,23.74,23.74,23.17,23.28,4150200,23.17176
2017-02-08,23.85,23.95,23.51,23.59,2540300,23.48032
2017-02-07,23.76,23.87,23.36,23.69,4518800,23.57985
2017-02-06,22.49,22.98,22.42,22.93,3414000,22.82339
2017-02-03,22.40,22.49,22.27,22.38,3220800,22.27594
2017-02-02,21.94,22.27,21.76,22.15,3454500,22.04701
2017-02-01,21.98,22.19,21.63,21.68,3108200,21.5792
2017-01-31,21.65,21.89,21.52,21.53,2930300,21.4299
2017-01-30,21.21,21.49,21.21,21.45,2047200,21.35027
2017-01-27,21.05,21.18,20.54,21.18,5103600,21.08152
2017-01-26,21.76,21.76,21.76,21.76,000,21.65883
2017-01-25,22.00,22.06,21.61,21.76,5221900,21.65883
2017-01-24,22.30,22.35,22.09,22.22,3025900,22.11669
2017-01-23,21.61,22.04,21.59,22.00,2036400,21.89771
2017-01-20,21.62,21.72,21.30,21.64,2532300,21.53939
2017-01-19,21.80,21.81,21.45,21.60,3362500,21.49957
2017-01-18,22.28,22.50,22.08,22.08,3319900,21.97734
2017-01-17,21.81,22.03,21.63,21.97,2588200,21.86785
2017-01-16,21.53,21.79,21.50,21.60,2285200,21.49957
2017-01-13,21.23,21.63,20.965,21.16,3730600,21.06162
2017-01-12,21.22,21.23,21.06,21.06,2311200,20.96208
2017-01-11,20.85,21.15,20.85,21.09,3506000,20.99194
2017-01-10,20.87,21.01,20.765,20.85,2223700,20.75306
2017-01-09,20.55,20.885,20.46,20.56,3091400,20.46441
2017-01-06,21.06,21.19,20.73,20.77,3661000,20.67343
2017-01-05,20.54,20.89,20.47,20.71,2823300,20.61371
2017-01-04,20.20,20.40,20.11,20.35,2439300,20.25538
2017-01-03,20.00,20.195,19.57,20.19,2797400,20.09613
2017-01-02,20.25,20.25,20.25,20.25,000,20.15585
2016-12-30,19.83,20.41,19.81,20.25,3585500,20.15585
2016-12-29,18.94,19.29,18.79,19.26,2918100,19.17045
2016-12-28,18.68,18.98,18.50,18.62,4071300,18.53343
2016-12-27,18.08,18.08,18.08,18.08,000,17.99594
2016-12-26,18.08,18.08,18.08,18.08,000,17.99594
2016-12-23,17.89,18.08,17.72,18.08,5580500,17.99594
2016-12-22,17.80,18.00,17.60,17.99,3027400,17.90636
2016-12-21,17.40,17.82,17.24,17.76,3950700,17.67743
2016-12-20,17.20,17.69,17.12,17.54,4702100,17.45845
2016-12-19,16.84,16.99,16.62,16.77,5727100,16.69203
2016-12-16,16.91,16.95,16.35,16.75,10715500,16.67212
2016-12-15,17.65,17.96,17.50,17.58,6633200,17.49826
2016-12-14,18.25,18.61,18.25,18.54,3621000,18.4538
2016-12-13,18.70,18.70,18.22,18.32,2858900,18.23482
2016-12-12,18.76,18.82,18.175,18.44,3932000,18.35426
2016-12-09,19.04,19.19,18.79,18.94,3057200,18.85194
2016-12-08,19.16,19.19,18.63,19.05,4228200,18.96143
2016-12-07,18.75,18.92,18.60,18.87,3783400,18.78227
2016-12-06,18.95,18.95,18.46,18.71,4399300,18.62301
2016-12-05,19.38,19.49,18.63,18.88,3750300,18.79222
2016-12-02,19.23,19.38,18.82,18.96,4951900,18.87185
2016-12-01,19.27,19.36,18.93,18.98,4883500,18.89175
2016-11-30,19.60,19.75,19.42,19.54,5695100,19.44915
2016-11-29,19.89,20.04,19.415,19.49,5850700,19.39938
2016-11-28,19.45,19.85,19.45,19.57,4619000,19.47901
2016-11-25,19.85,20.05,19.43,19.55,5391800,19.4591
2016-11-24,20.05,20.32,19.88,19.95,5688200,19.85724
2016-11-23,20.61,20.91,20.40,20.75,3682400,20.65352
2016-11-22,21.00,21.05,20.56,20.67,4563700,20.5739
2016-11-21,20.75,21.09,20.52,20.93,4089100,20.83269
2016-11-18,21.13,21.18,20.57,20.76,4656500,20.66348
2016-11-17,21.40,21.64,21.23,21.40,3231600,21.3005
2016-11-16,21.82,21.87,21.39,21.51,5020600,21.40999
2016-11-15,21.60,21.60,20.89,20.99,5899000,20.89241
2016-11-14,21.43,21.63,20.84,20.88,4996100,20.78292
2016-11-11,22.90,23.37,22.27,22.47,6356400,22.36553
2016-11-10,23.80,24.37,23.30,24.23,5606000,24.11734
2016-11-09,22.65,25.57,22.57,25.35,10243500,25.23214
2016-11-08,22.92,23.14,22.80,23.09,3437600,22.98264
2016-11-07,23.22,23.45,22.93,23.27,3566800,23.16181
2016-11-04,23.85,24.17,23.61,23.70,2581500,23.58981
2016-11-03,23.41,24.035,23.26,23.99,3772600,23.87846
2016-11-02,23.40,23.50,22.82,23.29,3845400,23.18171
2016-11-01,22.65,22.77,22.25,22.73,2031500,22.62432
2016-10-31,21.80,22.625,21.71,22.56,4768200,22.45511
2016-10-28,21.05,21.47,21.05,21.42,3146600,21.32041
2016-10-27,21.87,22.00,21.26,21.37,3210500,21.27064
2016-10-26,21.90,22.18,21.79,21.94,2739800,21.83799
2016-10-25,21.78,22.02,21.60,21.90,1992300,21.79818
2016-10-24,22.10,22.21,21.71,21.97,2244900,21.86785
2016-10-21,22.22,22.44,21.93,22.10,2793600,21.99725
2016-10-20,22.58,22.82,22.40,22.63,3991100,22.52478
2016-10-19,21.75,22.13,21.69,22.10,3986500,21.99725
2016-10-18,21.00,21.485,20.88,21.40,3653500,21.3005
2016-10-17,20.96,21.30,20.71,20.78,2133600,20.68338
2016-10-14,21.55,21.65,21.01,21.01,2897400,20.91232
2016-10-13,20.76,21.47,20.51,21.43,3863600,21.33036
2016-10-12,20.31,20.48,20.21,20.48,2680000,20.38478
2016-10-11,21.25,21.27,20.47,20.52,3195900,20.42459
2016-10-10,20.60,20.98,20.58,20.95,2237700,20.85259
2016-10-07,20.74,20.80,20.19,20.53,5659600,20.43455
2016-10-06,21.20,21.35,20.845,20.94,3666600,20.84264
2016-10-05,21.01,21.32,20.72,21.28,6144600,21.18106
2016-10-04,22.06,22.50,22.06,22.43,4137700,22.32571
2016-10-03,22.12,22.33,22.06,22.22,1234200,22.11669
2016-09-30,22.35,22.60,22.14,22.19,4161800,22.08683
2016-09-29,22.48,22.55,22.29,22.40,2113000,22.29585
2016-09-28,22.88,22.88,22.15,22.35,3835300,22.24608
2016-09-27,22.68,23.14,22.54,22.98,4258100,22.87315
2016-09-26,22.20,22.64,22.20,22.51,2440100,22.40534
2016-09-23,22.42,22.515,22.19,22.41,4076400,22.30581
2016-09-22,22.48,22.96,22.30,22.85,5919000,22.74376
2016-09-21,21.45,21.57,21.27,21.38,3806900,21.28059
2016-09-20,21.75,21.81,21.19,21.29,4438500,21.09327
2016-09-19,21.50,21.93,21.38,21.64,863800,21.44003
2016-09-16,21.11,21.53,21.08,21.12,7157200,20.92484
2016-09-15,21.04,21.47,21.04,21.21,3648500,21.014
2016-09-14,21.27,21.46,20.93,21.42,3908600,21.22206
2016-09-13,21.76,22.00,21.47,21.53,4084600,21.33105
2016-09-12,21.37,21.37,20.95,21.06,4455700,20.86539
2016-09-09,22.31,22.48,22.06,22.14,3542900,21.93541
2016-09-08,23.11,23.195,22.63,22.86,3172700,22.64876
2016-09-07,23.27,23.55,23.21,23.32,5429300,23.10451
2016-09-06,23.15,23.25,22.49,22.60,2959000,22.39116
2016-09-05,23.20,23.29,22.70,23.07,3437900,22.85682
2016-09-02,22.35,22.67,22.225,22.36,3842800,22.15338
2016-09-01,21.64,22.19,21.64,21.69,3779900,21.48957
2016-08-31,22.37,22.52,21.80,22.19,4296200,21.98495
2016-08-30,22.45,23.09,22.44,22.97,2712000,22.75774
2016-08-29,23.39,23.50,22.45,22.53,3738400,22.32181
2016-08-26,23.10,23.67,23.10,23.34,6647700,23.12432
2016-08-25,23.20,23.57,23.06,23.34,5612600,23.12432
2016-08-24,23.95,24.15,23.64,23.98,1785200,23.75841
2016-08-23,24.00,24.20,23.755,23.97,2679900,23.7485
2016-08-22,23.70,23.83,23.21,23.77,3402100,23.55035
2016-08-19,23.66,23.99,23.31,23.95,3190700,23.72868
2016-08-18,23.76,24.185,23.44,23.70,4553200,23.481
2016-08-17,24.36,24.71,23.27,23.32,5807700,23.10451
2016-08-16,24.40,24.69,24.03,24.67,3239600,24.44203
2016-08-15,25.29,25.34,24.35,24.51,3409300,24.28351
2016-08-12,25.00,25.53,24.67,25.53,2593700,25.29408
2016-08-11,25.65,25.66,24.90,25.14,2231000,24.90769
2016-08-10,24.41,25.52,24.30,25.46,3297000,25.22473
2016-08-09,24.61,24.73,24.135,24.42,2755900,24.19434
2016-08-08,24.81,24.82,24.42,24.61,3282600,24.38259
2016-08-05,25.45,25.80,25.40,25.69,2028900,25.45261
2016-08-04,25.70,25.80,25.07,25.24,2270200,25.00676
2016-08-03,25.41,25.865,25.35,25.70,3822200,25.46251
2016-08-02,25.70,25.75,24.87,24.87,2590500,24.64018
2016-08-01,25.43,25.93,25.33,25.33,3061100,25.09593
2016-07-29,24.87,25.19,24.57,25.00,7878100,24.76898
2016-07-28,24.44,24.84,24.325,24.74,4646800,24.51138
2016-07-27,23.35,23.70,23.01,23.59,3725000,23.37201
2016-07-26,22.50,22.91,22.26,22.88,5533500,22.66857
2016-07-25,23.87,23.95,23.22,23.42,3227500,23.20358
2016-07-22,24.00,24.50,23.87,24.05,3246100,23.82776
2016-07-21,23.73,23.77,23.29,23.57,4851800,23.3522
2016-07-20,24.28,24.45,24.03,24.30,3297900,24.07545
2016-07-19,24.45,24.62,24.00,24.13,2188800,23.90702
2016-07-18,24.80,24.90,24.23,24.53,2981200,24.30333
2016-07-15,25.00,25.18,24.185,24.47,5171300,24.24388
2016-07-14,26.08,26.17,25.17,25.30,4460400,25.06621
2016-07-13,25.04,26.29,24.83,26.20,5992500,25.95789
2016-07-12,26.55,26.62,26.07,26.18,3562300,25.93808
2016-07-11,26.81,27.20,26.38,26.63,3601000,26.38392
2016-07-08,25.82,26.29,25.82,26.12,4288300,25.87863
2016-07-07,26.20,26.26,25.90,26.18,5644700,25.93808
2016-07-06,25.91,26.39,25.745,25.92,5568500,25.68048
2016-07-05,25.41,25.66,24.81,25.12,5057800,24.88787
2016-07-04,24.50,25.16,24.48,25.14,4874100,24.90769
2016-07-01,23.44,24.18,23.33,24.00,4239000,23.77822
2016-06-30,23.53,23.74,22.79,23.00,7011700,22.78746
2016-06-29,23.57,23.87,23.31,23.51,7216300,23.29275
2016-06-28,24.64,24.74,23.49,23.55,8585900,23.33238
2016-06-27,23.78,24.45,23.09,24.19,6270300,23.96647
2016-06-24,21.88,23.835,21.355,23.55,18522700,23.33238
2016-06-23,21.10,21.68,20.99,21.64,3836600,21.44003
2016-06-22,21.12,21.34,20.94,21.05,3478200,20.85548
2016-06-21,21.85,22.11,21.535,21.67,4129200,21.46975
2016-06-20,22.20,22.34,21.42,21.85,3598100,21.64809
2016-06-17,22.06,22.48,21.755,22.42,8807100,22.21282
2016-06-16,22.69,22.77,22.44,22.54,5092000,22.33171
2016-06-15,22.12,22.30,21.88,21.90,4105100,21.69763
2016-06-14,22.74,22.97,22.49,22.55,4647800,22.34162
2016-06-13,22.30,22.30,22.30,22.30,000,22.09393
2016-06-10,22.25,22.55,22.21,22.30,6471100,22.09393
2016-06-09,22.30,22.35,21.96,22.03,6353100,21.82643
2016-06-08,21.80,21.99,21.55,21.63,4668100,21.43012
2016-06-07,22.00,22.01,21.31,21.49,5102000,21.29142
2016-06-06,21.18,22.285,21.165,22.06,8887100,21.85615
2016-06-03,19.59,19.865,19.35,19.76,3387300,19.5774
2016-06-02,19.65,19.65,19.24,19.40,2190200,19.22073
2016-06-01,19.20,19.58,19.125,19.46,3495900,19.28017
2016-05-31,18.97,19.30,18.915,19.07,5234300,18.89378
2016-05-30,18.69,18.86,18.54,18.82,3545800,18.64609
2016-05-27,19.05,19.20,18.835,19.11,5332000,18.93341
2016-05-26,18.97,19.38,18.82,19.30,5094000,19.12165
2016-05-25,19.35,19.35,19.01,19.02,5403300,18.84424
2016-05-24,20.08,20.32,19.74,20.05,2953800,19.86472
2016-05-23,19.96,20.49,19.76,20.30,2940800,20.11241
2016-05-20,19.70,20.19,19.51,19.96,3394800,19.77555
2016-05-19,20.28,20.35,19.52,19.73,6450500,19.54768
2016-05-18,21.48,21.62,21.14,21.34,3358200,21.1428
2016-05-17,21.33,21.48,20.91,21.26,3268100,21.06354
2016-05-16,20.93,21.33,20.85,21.10,2375000,20.90502
2016-05-13,21.10,21.25,20.75,20.88,3943500,20.68705
2016-05-12,20.79,21.56,20.78,21.37,5301200,21.17253
2016-05-11,20.20,20.56,20.01,20.53,3402500,20.34029
2016-05-10,19.54,19.85,19.18,19.85,3348300,19.66657
2016-05-09,20.20,20.39,20.05,20.15,4091300,19.9638
2016-05-06,19.00,19.82,18.91,19.79,2924800,19.60713
2016-05-05,18.88,19.13,18.71,19.07,2942900,18.89378
2016-05-04,19.52,19.67,18.94,19.04,4700300,18.86406
2016-05-03,19.80,20.03,19.45,19.95,6826400,19.76565
2016-05-02,19.61,19.97,19.50,19.84,4132100,19.65666
2016-04-29,18.60,19.11,18.57,18.97,6396300,18.7947
2016-04-28,18.15,18.44,17.99,18.33,3571700,18.16062
2016-04-27,17.84,18.48,17.62,18.20,4037000,18.03182
2016-04-26,18.20,18.45,17.58,17.72,3579300,17.55625
2016-04-25,17.90,17.90,17.90,17.90,000,17.73459
2016-04-22,17.74,18.05,17.37,17.90,3024100,17.73459
2016-04-21,17.76,17.82,17.21,17.69,4755400,17.52653
2016-04-20,18.16,18.20,17.955,18.01,3296300,17.84357
2016-04-19,18.12,18.15,17.91,18.01,2126800,17.84357
2016-04-18,17.94,18.15,17.94,18.07,3469700,17.90302
2016-04-15,17.51,17.70,17.35,17.67,3786400,17.50672
2016-04-14,17.52,18.18,17.48,17.86,2022200,17.69496
2016-04-13,17.92,17.99,17.52,17.73,2904200,17.56616
2016-04-12,18.46,18.47,17.71,17.77,5341300,17.60579
2016-04-11,17.74,18.18,17.67,18.13,4403300,17.96246
2016-04-08,17.40,17.79,17.33,17.53,2797000,17.36801
2016-04-07,16.82,17.17,16.63,17.12,2417200,16.9618
2016-04-06,17.05,17.11,16.44,16.69,3289400,16.53577
2016-04-05,16.85,17.25,16.765,16.92,3876300,16.76365
2016-04-04,16.84,17.27,16.80,16.99,2356400,16.833
2016-04-01,17.21,17.52,16.76,16.90,3229900,16.74383
2016-03-31,16.92,16.98,16.47,16.96,3845500,16.80328
2016-03-30,16.89,17.21,16.63,16.79,3456300,16.63485
2016-03-29,16.25,16.90,16.25,16.32,2383300,16.16919
2016-03-28,16.29,16.29,16.29,16.29,000,16.13947
2016-03-25,16.29,16.29,16.29,16.29,000,16.13947
2016-03-24,16.09,16.34,15.88,16.29,6557200,16.13947
2016-03-23,17.20,17.40,16.56,16.61,5331100,16.45651
2016-03-22,17.25,17.51,17.19,17.44,2186500,17.27884
2016-03-21,17.54,17.78,17.37,17.42,3157300,17.25903
2016-03-18,17.70,17.83,17.31,17.45,7878800,17.28875
2016-03-17,17.55,17.79,17.50,17.67,8859200,17.50672
2016-03-16,16.88,17.15,16.49,16.60,3590400,16.4466
2016-03-15,16.33,16.92,16.25,16.90,4199700,16.74383
2016-03-14,17.20,17.21,16.75,16.87,4366200,16.71411
2016-03-11,17.40,17.60,17.31,17.50,5484600,17.33829
2016-03-10,16.79,17.04,16.69,16.94,2879500,16.78346
2016-03-09,16.65,16.87,16.32,16.67,4427000,16.51596
2016-03-08,17.19,17.38,17.00,17.17,5531100,17.01134
2016-03-07,17.32,17.35,16.78,16.95,4072600,16.79337
2016-03-04,17.52,17.83,17.13,17.20,9205900,17.04106
2016-03-03,16.63,17.43,16.60,17.12,6373500,16.9618
2016-03-02,17.38,17.70,16.845,17.15,5953900,16.99152
2016-03-01,18.01,18.63,18.00,18.29,6778700,18.12099
2016-02-29,17.51,17.54,17.33,17.50,9137600,17.33829
2016-02-26,17.28,17.78,17.20,17.75,9990300,17.58598
2016-02-25,16.58,17.12,16.45,17.09,8617800,16.93208
2016-02-24,15.94,16.60,15.87,16.56,4935000,16.40697
2016-02-23,15.68,15.86,15.27,15.82,4714300,15.67381
2016-02-22,16.00,16.01,15.625,15.86,3320300,15.71344
2016-02-19,16.25,16.41,15.72,15.90,4422300,15.75307
2016-02-18,15.20,15.66,14.93,15.55,3827900,15.40631
2016-02-17,15.12,15.69,15.12,15.37,4948000,15.22797
2016-02-16,15.70,15.94,15.09,15.30,6691300,15.15862
2016-02-15,16.46,16.53,16.00,16.21,4502100,16.06021
2016-02-12,17.20,17.24,16.29,16.30,9745200,16.14938
2016-02-11,16.00,16.65,15.92,16.32,5922300,16.16919
2016-02-10,15.96,16.48,15.88,16.25,4728900,16.09984
2016-02-09,16.33,16.83,16.04,16.80,7995200,16.64475
2016-02-08,15.16,15.535,15.16,15.52,5136500,15.37658
2016-02-05,14.70,15.00,14.48,14.96,6832900,14.82176
2016-02-04,13.66,14.335,13.43,14.30,6246500,14.16786
2016-02-03,13.20,13.39,13.02,13.04,2469000,12.9195
2016-02-02,13.56,13.66,13.25,13.34,4035700,13.21673
2016-02-01,13.02,13.40,12.89,13.40,5023400,13.27617
2016-01-29,13.74,13.74,12.64,12.88,8915000,12.76098
2016-01-28,13.70,13.98,13.64,13.88,4201300,13.75174
2016-01-27,13.49,13.69,13.42,13.52,5775700,13.39507
2016-01-26,13.10,13.10,13.10,13.10,000,12.97895
2016-01-25,13.09,13.22,12.87,13.10,2808400,12.97895
2016-01-22,13.32,13.34,12.94,12.99,2515500,12.86996
2016-01-21,13.30,13.45,13.17,13.19,2916800,13.06811
2016-01-20,12.80,13.18,12.80,13.12,3335500,12.99876
2016-01-19,12.91,13.335,12.86,13.24,2396800,13.11765
2016-01-18,12.75,12.92,12.71,12.86,2159000,12.74116
2016-01-15,12.77,12.87,12.70,12.74,3445200,12.62227
2016-01-14,12.70,13.24,12.66,13.06,3928800,12.93932
2016-01-13,13.05,13.10,12.55,12.56,3865800,12.44394
2016-01-12,13.20,13.45,13.01,13.20,2632100,13.07802
2016-01-11,13.50,13.53,13.31,13.42,3015700,13.29599
2016-01-08,13.50,13.52,13.31,13.39,4957600,13.26627
2016-01-07,13.20,13.35,13.10,13.19,4777600,13.06811
2016-01-06,13.46,13.50,12.96,13.05,3433400,12.92941
